id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
1, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
2, 0.2920, 0.3139, 0.3033, 0.3777, 0.4439, 0.4849, 0.5216, 0.5354, 0.5737, 0.5749, 0.5494
3, 0.2375, 0.2234, 0.2461, 0.2573, 0.2579, 0.3011, 0.3701, 0.4334, 0.4891, 0.5274, 0.5184
4, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
5, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
6, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
7, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
8, 0.2290, 0.2270, 0.2306, 0.2378, 0.2436, 0.2549, 0.3098, 0.3830, 0.4235, 0.4669, 0.5057
9, 0.1294, 0.1044, 0.0841, 0.0875, 0.0867, 0.0825, 0.0774, 0.0845, 0.0904, 0.0942, 0.0959
10, 0.6608, 0.6302, 0.6463, 0.6753, 0.6826, 0.6748, 0.6476, 0.6433, 0.6403, 0.6379, 0.6363
11, 0.2543, 0.2703, 0.2797, 0.2703, 0.3431, 0.4168, 0.4829, 0.5360, 0.5355, 0.5198, 0.5402
12, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
13, 0.4297, 0.5217, 0.5637, 0.5269, 0.6070, 0.6395, 0.6474, 0.6541, 0.6531, 0.6504, 0.6466
14, 0.3199, 0.3190, 0.3555, 0.4410, 0.5071, 0.5426, 0.5748, 0.5947, 0.5894, 0.5981, 0.6097
15, 0.3045, 0.3259, 0.3474, 0.4296, 0.5052, 0.5254, 0.5435, 0.5807, 0.5924, 0.6071, 0.6154
16, 0.2671, 0.2498, 0.2745, 0.3001, 0.3195, 0.4031, 0.4659, 0.5146, 0.5291, 0.5118, 0.5383
17, 0.2793, 0.2870, 0.3140, 0.3199, 0.3981, 0.4594, 0.4974, 0.5349, 0.5409, 0.5290, 0.5211
18, 0.3767, 0.4348, 0.4689, 0.4813, 0.4751, 0.5226, 0.5502, 0.5332, 0.5319, 0.5243, 0.5042
19, 0.2307, 0.2362, 0.2158, 0.2457, 0.2686, 0.2497, 0.3310, 0.4005, 0.4589, 0.5081, 0.5305
20, 0.3694, 0.4359, 0.5004, 0.4835, 0.5304, 0.5795, 0.5706, 0.5554, 0.5435, 0.5316, 0.5525
21, 0.3218, 0.3078, 0.4039, 0.4672, 0.5029, 0.5568, 0.5712, 0.5589, 0.5487, 0.5420, 0.5497
22, 0.3215, 0.3019, 0.3967, 0.4665, 0.4850, 0.5425, 0.5619, 0.5663, 0.5454, 0.5339, 0.5246
23, 0.2363, 0.2200, 0.2350, 0.2706, 0.2699, 0.2743, 0.3648, 0.4371, 0.4931, 0.5328, 0.5526
