id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
1, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
2, 0.2948, 0.3139, 0.3096, 0.3762, 0.4439, 0.4849, 0.5216, 0.5354, 0.5737, 0.5749, 0.5494
3, 0.2375, 0.2234, 0.2461, 0.2573, 0.2579, 0.3011, 0.3701, 0.4334, 0.4891, 0.5274, 0.5184
4, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
5, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
6, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
7, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
8, 0.2046, 0.1587, 0.1510, 0.1590, 0.1546, 0.1484, 0.1562, 0.1668, 0.1900, 0.2081, 0.1955
9, 0.1294, 0.1044, 0.0841, 0.0875, 0.0867, 0.0825, 0.0760, 0.0612, 0.0485, 0.0422, 0.0396
10, 0.6291, 0.5655, 0.5802, 0.6030, 0.6153, 0.6149, 0.5828, 0.5898, 0.6003, 0.6022, 0.5900
11, 0.2543, 0.2703, 0.2797, 0.2703, 0.3431, 0.4168, 0.4829, 0.5360, 0.5355, 0.5198, 0.5402
12, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
13, 0.3715, 0.4765, 0.5461, 0.5216, 0.5435, 0.5660, 0.5931, 0.6106, 0.6225, 0.6354, 0.6466
14, 0.2801, 0.2921, 0.3256, 0.3681, 0.4695, 0.5426, 0.5748, 0.5947, 0.5894, 0.5981, 0.6097
15, 0.3045, 0.2932, 0.3170, 0.4026, 0.4656, 0.4850, 0.5149, 0.5446, 0.5723, 0.5909, 0.5876
16, 0.2215, 0.2239, 0.1965, 0.2216, 0.2544, 0.2707, 0.2658, 0.4001, 0.4739, 0.5118, 0.5383
17, 0.2793, 0.2870, 0.2926, 0.3090, 0.3797, 0.4514, 0.4933, 0.5202, 0.5170, 0.5050, 0.5084
18, 0.3010, 0.2926, 0.2840, 0.3952, 0.4738, 0.5405, 0.5703, 0.5546, 0.5407, 0.5243, 0.5033
19, 0.2307, 0.2362, 0.2158, 0.2457, 0.2686, 0.2497, 0.3310, 0.4005, 0.4589, 0.5081, 0.5305
20, 0.3080, 0.2969, 0.3622, 0.4509, 0.5303, 0.5795, 0.5706, 0.5554, 0.5435, 0.5316, 0.5525
21, 0.2919, 0.3073, 0.3168, 0.4126, 0.5048, 0.5490, 0.5656, 0.5588, 0.5487, 0.5420, 0.5497
22, 0.2849, 0.2976, 0.2904, 0.3731, 0.4596, 0.5398, 0.5498, 0.5312, 0.5112, 0.5092, 0.5120
23, 0.2252, 0.2188, 0.2173, 0.2310, 0.2549, 0.2743, 0.2979, 0.4133, 0.4930, 0.5328, 0.5526
24, 0.2667, 0.2877, 0.3115, 0.3127, 0.4146, 0.4621, 0.5033, 0.5439, 0.5487, 0.5261, 0.5257
25, 0.2952, 0.3115, 0.3307, 0.4276, 0.5140, 0.5560, 0.5713, 0.5601, 0.5525, 0.5474, 0.5484
26, 0.2720, 0.2878, 0.2969, 0.3002, 0.3927, 0.4562, 0.4883, 0.5097, 0.4997, 0.4964, 0.5312
27, 0.2211, 0.2217, 0.2185, 0.2110, 0.2550, 0.2716, 0.2892, 0.3991, 0.4865, 0.5188, 0.5280
28, 0.4363, 0.5115, 0.5271, 0.5089, 0.5398, 0.5763, 0.6083, 0.6309, 0.6475, 0.6504, 0.6466
29, 0.2407, 0.2324, 0.2507, 0.2784, 0.2791, 0.3171, 0.4090, 0.4770, 0.5051, 0.5345, 0.5473
30, 0.2523, 0.2471, 0.2471, 0.2909, 0.2949, 0.3239, 0.4228, 0.4772, 0.5089, 0.5344, 0.5534
31, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
32, 0.1294, 0.1057, 0.1090, 0.1068, 0.1009, 0.0875, 0.0687, 0.0559, 0.0527, 0.0508, 0.0557
33, 0.2641, 0.2878, 0.2916, 0.2939, 0.3819, 0.4359, 0.4825, 0.5356, 0.5119, 0.4916, 0.5210
34, 0.3367, 0.3105, 0.3238, 0.3995, 0.4921, 0.5411, 0.5730, 0.5622, 0.5692, 0.5636, 0.5399
35, 0.2820, 0.2915, 0.3199, 0.3520, 0.4265, 0.5061, 0.5263, 0.5591, 0.5883, 0.6117, 0.6302
